county,ej_variable,value
Los Angeles,Cardiovascular Disease,14.4
Los Angeles,Drinking Water Contaminant Index,726.64
Los Angeles,Imparired Water Bodies,4
Los Angeles,Groundwater Threats,16
Los Angeles,Pollution Burden Score,7.37
Los Angeles,Annual Ozone Concentration,0.061
Los Angeles,Total Population,6869
Los Angeles,Poverty (% Below Poverty Level),62.4
Los Angeles,Asthma,84.93
Los Angeles,Annual PM 2.5 Concentrations,12.02230894
Los Angeles,Cardiovascular Disease,16.96
Los Angeles,Drinking Water Contaminant Index,443.83
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,6.25
Los Angeles,Pollution Burden Score,5.53
Los Angeles,Annual Ozone Concentration,0.043
Los Angeles,Total Population,3027
Los Angeles,Poverty (% Below Poverty Level),58.5
Los Angeles,Asthma,74.85
Los Angeles,Annual PM 2.5 Concentrations,12.20870236
Los Angeles,Cardiovascular Disease,19.42
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,4
Los Angeles,Pollution Burden Score,5.95
Los Angeles,Annual Ozone Concentration,0.048
Los Angeles,Total Population,4778
Los Angeles,Poverty (% Below Poverty Level),34.2
Los Angeles,Asthma,64.81
Los Angeles,Annual PM 2.5 Concentrations,13.28667479
Los Angeles,Cardiovascular Disease,17.27
Los Angeles,Drinking Water Contaminant Index,726.64
Los Angeles,Imparired Water Bodies,4
Los Angeles,Groundwater Threats,3
Los Angeles,Pollution Burden Score,6.29
Los Angeles,Annual Ozone Concentration,0.061
Los Angeles,Total Population,6744
Los Angeles,Poverty (% Below Poverty Level),32.5
Los Angeles,Asthma,73.09
Los Angeles,Annual PM 2.5 Concentrations,12.14946851
Los Angeles,Cardiovascular Disease,18.24
Los Angeles,Drinking Water Contaminant Index,696.68
Los Angeles,Imparired Water Bodies,6
Los Angeles,Groundwater Threats,40.45
Los Angeles,Pollution Burden Score,8.13
Los Angeles,Annual Ozone Concentration,0.055
Los Angeles,Total Population,3409
Los Angeles,Poverty (% Below Poverty Level),51.8
Los Angeles,Asthma,72.44
Los Angeles,Annual PM 2.5 Concentrations,12.15059385
Los Angeles,Cardiovascular Disease,16.96
Los Angeles,Drinking Water Contaminant Index,678.37
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,1.5
Los Angeles,Pollution Burden Score,6.08
Los Angeles,Annual Ozone Concentration,0.05
Los Angeles,Total Population,2239
Los Angeles,Poverty (% Below Poverty Level),45.3
Los Angeles,Asthma,56.78
Los Angeles,Annual PM 2.5 Concentrations,12.10279177
Los Angeles,Cardiovascular Disease,14.58
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,3.25
Los Angeles,Pollution Burden Score,6.8
Los Angeles,Annual Ozone Concentration,0.048
Los Angeles,Total Population,6177
Los Angeles,Poverty (% Below Poverty Level),31.9
Los Angeles,Asthma,89.18
Los Angeles,Annual PM 2.5 Concentrations,12.0198097
Los Angeles,Cardiovascular Disease,19.38
Los Angeles,Drinking Water Contaminant Index,339.04
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,14.5
Los Angeles,Pollution Burden Score,6.5
Los Angeles,Annual Ozone Concentration,0.042
Los Angeles,Total Population,6624
Los Angeles,Poverty (% Below Poverty Level),44
Los Angeles,Asthma,57.55
Los Angeles,Annual PM 2.5 Concentrations,11.90058683
Los Angeles,Cardiovascular Disease,22.22
Los Angeles,Drinking Water Contaminant Index,547.59
Los Angeles,Imparired Water Bodies,3
Los Angeles,Groundwater Threats,28
Los Angeles,Pollution Burden Score,6.16
Los Angeles,Annual Ozone Concentration,0.046
Los Angeles,Total Population,2637
Los Angeles,Poverty (% Below Poverty Level),74.7
Los Angeles,Asthma,39.69
Los Angeles,Annual PM 2.5 Concentrations,12.11034605
Los Angeles,Cardiovascular Disease,10.92
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,7.5
Los Angeles,Pollution Burden Score,6.59
Los Angeles,Annual Ozone Concentration,0.046
Los Angeles,Total Population,5258
Los Angeles,Poverty (% Below Poverty Level),33.3
Los Angeles,Asthma,34.91
Los Angeles,Annual PM 2.5 Concentrations,11.78171348
Los Angeles,Cardiovascular Disease,16.19
Los Angeles,Drinking Water Contaminant Index,685.63
Los Angeles,Imparired Water Bodies,6
Los Angeles,Groundwater Threats,11.5
Los Angeles,Pollution Burden Score,7.61
Los Angeles,Annual Ozone Concentration,0.055
Los Angeles,Total Population,6289
Los Angeles,Poverty (% Below Poverty Level),33
Los Angeles,Asthma,56.9
Los Angeles,Annual PM 2.5 Concentrations,11.89552128
Los Angeles,Cardiovascular Disease,11.95
Los Angeles,Drinking Water Contaminant Index,391.08
Los Angeles,Imparired Water Bodies,3
Los Angeles,Groundwater Threats,21
Los Angeles,Pollution Burden Score,6.97
Los Angeles,Annual Ozone Concentration,0.041
Los Angeles,Total Population,4941
Los Angeles,Poverty (% Below Poverty Level),51.7
Los Angeles,Asthma,40.35
Los Angeles,Annual PM 2.5 Concentrations,11.91454322
Los Angeles,Cardiovascular Disease,10.94
Los Angeles,Drinking Water Contaminant Index,722.53
Los Angeles,Imparired Water Bodies,1
Los Angeles,Groundwater Threats,9
Los Angeles,Pollution Burden Score,7.07
Los Angeles,Annual Ozone Concentration,0.055
Los Angeles,Total Population,2141
Los Angeles,Poverty (% Below Poverty Level),50.2
Los Angeles,Asthma,41.09
Los Angeles,Annual PM 2.5 Concentrations,12.05058662
Los Angeles,Cardiovascular Disease,16.31
Los Angeles,Drinking Water Contaminant Index,389.13
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,1.5
Los Angeles,Pollution Burden Score,6.02
Los Angeles,Annual Ozone Concentration,0.047
Los Angeles,Total Population,4427
Los Angeles,Poverty (% Below Poverty Level),54.2
Los Angeles,Asthma,78.72
Los Angeles,Annual PM 2.5 Concentrations,11.9768033
Los Angeles,Cardiovascular Disease,20.76
Los Angeles,Drinking Water Contaminant Index,477.32
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,21
Los Angeles,Pollution Burden Score,6.85
Los Angeles,Annual Ozone Concentration,0.05
Los Angeles,Total Population,4446
Los Angeles,Poverty (% Below Poverty Level),44.8
Los Angeles,Asthma,44.33
Los Angeles,Annual PM 2.5 Concentrations,12.19449024
Los Angeles,Cardiovascular Disease,11.39
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,5.5
Los Angeles,Pollution Burden Score,6.42
Los Angeles,Annual Ozone Concentration,0.048
Los Angeles,Total Population,3449
Los Angeles,Poverty (% Below Poverty Level),51
Los Angeles,Asthma,49.08
Los Angeles,Annual PM 2.5 Concentrations,12.16076534
Los Angeles,Cardiovascular Disease,12.62
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,25.5
Los Angeles,Pollution Burden Score,8.02
Los Angeles,Annual Ozone Concentration,0.048
Los Angeles,Total Population,3557
Los Angeles,Poverty (% Below Poverty Level),39.1
Los Angeles,Asthma,94.42
Los Angeles,Annual PM 2.5 Concentrations,12.31736907
Los Angeles,Cardiovascular Disease,20.48
Los Angeles,Drinking Water Contaminant Index,339.04
Los Angeles,Imparired Water Bodies,11
Los Angeles,Groundwater Threats,0
Los Angeles,Pollution Burden Score,5.62
Los Angeles,Annual Ozone Concentration,0.041
Los Angeles,Total Population,4352
Los Angeles,Poverty (% Below Poverty Level),41.2
Los Angeles,Asthma,109.64
Los Angeles,Annual PM 2.5 Concentrations,11.89473641
Los Angeles,Cardiovascular Disease,20.84
Los Angeles,Drinking Water Contaminant Index,726.64
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,0
Los Angeles,Pollution Burden Score,5.65
Los Angeles,Annual Ozone Concentration,0.062
Los Angeles,Total Population,5082
Los Angeles,Poverty (% Below Poverty Level),59.2
Los Angeles,Asthma,76.33
Los Angeles,Annual PM 2.5 Concentrations,11.74873865
Los Angeles,Cardiovascular Disease,21.61
Los Angeles,Drinking Water Contaminant Index,391.08
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,16.2
Los Angeles,Pollution Burden Score,5.69
Los Angeles,Annual Ozone Concentration,0.04
Los Angeles,Total Population,3949
Los Angeles,Poverty (% Below Poverty Level),36.3
Los Angeles,Asthma,38.67
Los Angeles,Annual PM 2.5 Concentrations,11.76431624
Los Angeles,Cardiovascular Disease,16.81
Los Angeles,Drinking Water Contaminant Index,685.63
Los Angeles,Imparired Water Bodies,3
Los Angeles,Groundwater Threats,0
Los Angeles,Pollution Burden Score,7.3
Los Angeles,Annual Ozone Concentration,0.054
Los Angeles,Total Population,5011
Los Angeles,Poverty (% Below Poverty Level),42.3
Los Angeles,Asthma,62.85
Los Angeles,Annual PM 2.5 Concentrations,11.49943551
Los Angeles,Cardiovascular Disease,13.16
Los Angeles,Drinking Water Contaminant Index,726.64
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,7
Los Angeles,Pollution Burden Score,6.8
Los Angeles,Annual Ozone Concentration,0.062
Los Angeles,Total Population,5167
Los Angeles,Poverty (% Below Poverty Level),39.4
Los Angeles,Asthma,96.5
Los Angeles,Annual PM 2.5 Concentrations,12.02230894
Los Angeles,Cardiovascular Disease,19.19
Los Angeles,Drinking Water Contaminant Index,443.83
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,6
Los Angeles,Pollution Burden Score,5.69
Los Angeles,Annual Ozone Concentration,0.043
Los Angeles,Total Population,5610
Los Angeles,Poverty (% Below Poverty Level),43.7
Los Angeles,Asthma,94.42
Los Angeles,Annual PM 2.5 Concentrations,12.2095544
Los Angeles,Cardiovascular Disease,20.48
Los Angeles,Drinking Water Contaminant Index,339.04
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,3.55
Los Angeles,Pollution Burden Score,5.74
Los Angeles,Annual Ozone Concentration,0.042
Los Angeles,Total Population,3978
Los Angeles,Poverty (% Below Poverty Level),82.3
Los Angeles,Asthma,52.07
Los Angeles,Annual PM 2.5 Concentrations,12.23163332
Los Angeles,Cardiovascular Disease,9.38
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,5.75
Los Angeles,Pollution Burden Score,6.63
Los Angeles,Annual Ozone Concentration,0.048
Los Angeles,Total Population,5203
Los Angeles,Poverty (% Below Poverty Level),25.9
Los Angeles,Asthma,57.55
Los Angeles,Annual PM 2.5 Concentrations,11.96563578
Los Angeles,Cardiovascular Disease,22.22
Los Angeles,Drinking Water Contaminant Index,503.63
Los Angeles,Imparired Water Bodies,3
Los Angeles,Groundwater Threats,2
Los Angeles,Pollution Burden Score,7.24
Los Angeles,Annual Ozone Concentration,0.045
Los Angeles,Total Population,6686
Los Angeles,Poverty (% Below Poverty Level),42.8
Los Angeles,Asthma,72.56
Los Angeles,Annual PM 2.5 Concentrations,13.17311521
Los Angeles,Cardiovascular Disease,19.4
Los Angeles,Drinking Water Contaminant Index,726.64
Los Angeles,Imparired Water Bodies,3
Los Angeles,Groundwater Threats,5
Los Angeles,Pollution Burden Score,6.4
Los Angeles,Annual Ozone Concentration,0.062
Los Angeles,Total Population,3638
Los Angeles,Poverty (% Below Poverty Level),28.9
Los Angeles,Asthma,55.68
Los Angeles,Annual PM 2.5 Concentrations,11.95803873
Los Angeles,Cardiovascular Disease,12.3
Los Angeles,Drinking Water Contaminant Index,745.19
Los Angeles,Imparired Water Bodies,3
Los Angeles,Groundwater Threats,5.25
Los Angeles,Pollution Burden Score,6.96
Los Angeles,Annual Ozone Concentration,0.058
Los Angeles,Total Population,7001
Los Angeles,Poverty (% Below Poverty Level),34.8
Los Angeles,Asthma,50.21
Los Angeles,Annual PM 2.5 Concentrations,11.77169218
Los Angeles,Cardiovascular Disease,10.11
Los Angeles,Drinking Water Contaminant Index,417.8
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,67.75
Los Angeles,Pollution Burden Score,7.91
Los Angeles,Annual Ozone Concentration,0.047
Los Angeles,Total Population,4207
Los Angeles,Poverty (% Below Poverty Level),55.5
Los Angeles,Asthma,54.25
Los Angeles,Annual PM 2.5 Concentrations,12.02269432
Los Angeles,Cardiovascular Disease,23.93
Los Angeles,Drinking Water Contaminant Index,602.93
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,6.25
Los Angeles,Pollution Burden Score,6.12
Los Angeles,Annual Ozone Concentration,0.047
Los Angeles,Total Population,3136
Los Angeles,Poverty (% Below Poverty Level),49.8
Los Angeles,Asthma,60.74
Los Angeles,Annual PM 2.5 Concentrations,12.06379023
Los Angeles,Cardiovascular Disease,24.24
Los Angeles,Drinking Water Contaminant Index,338.88
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,8.3
Los Angeles,Pollution Burden Score,5.32
Los Angeles,Annual Ozone Concentration,0.045
Los Angeles,Total Population,4016
Los Angeles,Poverty (% Below Poverty Level),56.5
Los Angeles,Asthma,62.18
Los Angeles,Annual PM 2.5 Concentrations,12.05421442
Los Angeles,Cardiovascular Disease,14.72
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,0
Los Angeles,Pollution Burden Score,5.77
Los Angeles,Annual Ozone Concentration,0.046
Los Angeles,Total Population,3993
Los Angeles,Poverty (% Below Poverty Level),41.6
Los Angeles,Asthma,73.09
Los Angeles,Annual PM 2.5 Concentrations,12.12966122
Los Angeles,Cardiovascular Disease,18.24
Los Angeles,Drinking Water Contaminant Index,743.48
Los Angeles,Imparired Water Bodies,2
Los Angeles,Groundwater Threats,8
Los Angeles,Pollution Burden Score,6.69
Los Angeles,Annual Ozone Concentration,0.055
Los Angeles,Total Population,7302
Los Angeles,Poverty (% Below Poverty Level),37.9
Los Angeles,Asthma,66.79
Los Angeles,Annual PM 2.5 Concentrations,12.00914658
Los Angeles,Cardiovascular Disease,15.45
Los Angeles,Drinking Water Contaminant Index,373.79
Los Angeles,Imparired Water Bodies,5
Los Angeles,Groundwater Threats,7.75
Los Angeles,Pollution Burden Score,6.68
Los Angeles,Annual Ozone Concentration,0.042
Los Angeles,Total Population,4569
Los Angeles,Poverty (% Below Poverty Level),51.8
Los Angeles,Asthma,58.65
Los Angeles,Annual PM 2.5 Concentrations,11.16285509
Los Angeles,Cardiovascular Disease,9.52
Los Angeles,Drinking Water Contaminant Index,726.64
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,3.8
Los Angeles,Pollution Burden Score,7.15
Los Angeles,Annual Ozone Concentration,0.067
Los Angeles,Total Population,4852
Los Angeles,Poverty (% Below Poverty Level),39.3
Los Angeles,Asthma,63.91
Los Angeles,Annual PM 2.5 Concentrations,11.94431824
Los Angeles,Cardiovascular Disease,13.59
Los Angeles,Drinking Water Contaminant Index,812.13
Los Angeles,Imparired Water Bodies,1
Los Angeles,Groundwater Threats,4.8
Los Angeles,Pollution Burden Score,7.37
Los Angeles,Annual Ozone Concentration,0.058
Los Angeles,Total Population,6734
Los Angeles,Poverty (% Below Poverty Level),42.8
Los Angeles,Asthma,76.96
Los Angeles,Annual PM 2.5 Concentrations,11.23027109
Los Angeles,Cardiovascular Disease,12.44
Los Angeles,Drinking Water Contaminant Index,504.19
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,14.8
Los Angeles,Pollution Burden Score,6.95
Los Angeles,Annual Ozone Concentration,0.067
Los Angeles,Total Population,7200
Los Angeles,Poverty (% Below Poverty Level),25.8
Los Angeles,Asthma,56.41
Los Angeles,Annual PM 2.5 Concentrations,11.9746039
Los Angeles,Cardiovascular Disease,14.89
Los Angeles,Drinking Water Contaminant Index,309.29
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,35.3
Los Angeles,Pollution Burden Score,7.67
Los Angeles,Annual Ozone Concentration,0.043
Los Angeles,Total Population,3669
Los Angeles,Poverty (% Below Poverty Level),38
Los Angeles,Asthma,53.32
Los Angeles,Annual PM 2.5 Concentrations,11.9465996
Los Angeles,Cardiovascular Disease,18.61
Los Angeles,Drinking Water Contaminant Index,721.72
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,16.5
Los Angeles,Pollution Burden Score,6.6
Los Angeles,Annual Ozone Concentration,0.051
Los Angeles,Total Population,3710
Los Angeles,Poverty (% Below Poverty Level),41.7
Los Angeles,Asthma,76.33
Los Angeles,Annual PM 2.5 Concentrations,11.72966207
Los Angeles,Cardiovascular Disease,21.61
Los Angeles,Drinking Water Contaminant Index,391.08
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,29.9
Los Angeles,Pollution Burden Score,6.21
Los Angeles,Annual Ozone Concentration,0.04
Los Angeles,Total Population,3015
Los Angeles,Poverty (% Below Poverty Level),49.5
Los Angeles,Asthma,54.24
Los Angeles,Annual PM 2.5 Concentrations,12.1093104
Los Angeles,Cardiovascular Disease,14.33
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,5
Los Angeles,Pollution Burden Score,6.14
Los Angeles,Annual Ozone Concentration,0.047
Los Angeles,Total Population,6833
Los Angeles,Poverty (% Below Poverty Level),49.7
Los Angeles,Asthma,79.44
Los Angeles,Annual PM 2.5 Concentrations,11.97005427
Los Angeles,Cardiovascular Disease,15.29
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,0
Los Angeles,Pollution Burden Score,6.29
Los Angeles,Annual Ozone Concentration,0.044
Los Angeles,Total Population,2542
Los Angeles,Poverty (% Below Poverty Level),44.6
Los Angeles,Asthma,47.68
Los Angeles,Annual PM 2.5 Concentrations,11.95022379
Los Angeles,Cardiovascular Disease,18.6
Los Angeles,Drinking Water Contaminant Index,649.22
Los Angeles,Imparired Water Bodies,2
Los Angeles,Groundwater Threats,6.85
Los Angeles,Pollution Burden Score,6.43
Los Angeles,Annual Ozone Concentration,0.048
Los Angeles,Total Population,4068
Los Angeles,Poverty (% Below Poverty Level),33.9
Los Angeles,Asthma,39.05
Los Angeles,Annual PM 2.5 Concentrations,11.78538706
Los Angeles,Cardiovascular Disease,12.94
Los Angeles,Drinking Water Contaminant Index,787.01
Los Angeles,Imparired Water Bodies,9
Los Angeles,Groundwater Threats,33.1
Los Angeles,Pollution Burden Score,9.01
Los Angeles,Annual Ozone Concentration,0.058
Los Angeles,Total Population,5226
Los Angeles,Poverty (% Below Poverty Level),45.2
Los Angeles,Asthma,60.74
Los Angeles,Annual PM 2.5 Concentrations,12.05709531
Los Angeles,Cardiovascular Disease,24.24
Los Angeles,Drinking Water Contaminant Index,463.5
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,14.5
Los Angeles,Pollution Burden Score,6.1
Los Angeles,Annual Ozone Concentration,0.046
Los Angeles,Total Population,2880
Los Angeles,Poverty (% Below Poverty Level),51.4
Los Angeles,Asthma,99.47
Los Angeles,Annual PM 2.5 Concentrations,11.91789577
Los Angeles,Cardiovascular Disease,19.81
Los Angeles,Drinking Water Contaminant Index,443.83
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,8.25
Los Angeles,Pollution Burden Score,6.19
Los Angeles,Annual Ozone Concentration,0.044
Los Angeles,Total Population,7329
Los Angeles,Poverty (% Below Poverty Level),32.1
Los Angeles,Asthma,49.03
Los Angeles,Annual PM 2.5 Concentrations,11.9261271
Los Angeles,Cardiovascular Disease,18.87
Los Angeles,Drinking Water Contaminant Index,649.22
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,44.2
Los Angeles,Pollution Burden Score,8.13
Los Angeles,Annual Ozone Concentration,0.047
Los Angeles,Total Population,4582
Los Angeles,Poverty (% Below Poverty Level),32.2
Los Angeles,Asthma,38.02
Los Angeles,Annual PM 2.5 Concentrations,12.01107836
Los Angeles,Cardiovascular Disease,15.58
Los Angeles,Drinking Water Contaminant Index,580.12
Los Angeles,Imparired Water Bodies,10
Los Angeles,Groundwater Threats,13.5
Los Angeles,Pollution Burden Score,7.59
Los Angeles,Annual Ozone Concentration,0.046
Los Angeles,Total Population,2175
Los Angeles,Poverty (% Below Poverty Level),45.6
Los Angeles,Asthma,78.72
Los Angeles,Annual PM 2.5 Concentrations,11.87584315
Los Angeles,Cardiovascular Disease,20.76
Los Angeles,Drinking Water Contaminant Index,477.32
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,6.45
Los Angeles,Pollution Burden Score,6.3
Los Angeles,Annual Ozone Concentration,0.05
Los Angeles,Total Population,6609
Los Angeles,Poverty (% Below Poverty Level),36.7
Los Angeles,Asthma,75.9
Los Angeles,Annual PM 2.5 Concentrations,12.04384673
Los Angeles,Cardiovascular Disease,17.75
Los Angeles,Drinking Water Contaminant Index,373.79
Los Angeles,Imparired Water Bodies,5
Los Angeles,Groundwater Threats,3
Los Angeles,Pollution Burden Score,6.28
Los Angeles,Annual Ozone Concentration,0.042
Los Angeles,Total Population,2479
Los Angeles,Poverty (% Below Poverty Level),44.7
Los Angeles,Asthma,57.99
Los Angeles,Annual PM 2.5 Concentrations,11.35398379
Los Angeles,Cardiovascular Disease,11.88
Los Angeles,Drinking Water Contaminant Index,726.64
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,22.95
Los Angeles,Pollution Burden Score,8.45
Los Angeles,Annual Ozone Concentration,0.066
Los Angeles,Total Population,2323
Los Angeles,Poverty (% Below Poverty Level),35.4
Los Angeles,Asthma,63.37
Los Angeles,Annual PM 2.5 Concentrations,11.98109779
Los Angeles,Cardiovascular Disease,13.34
Los Angeles,Drinking Water Contaminant Index,488.79
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,16.3
Los Angeles,Pollution Burden Score,6.39
Los Angeles,Annual Ozone Concentration,0.051
Los Angeles,Total Population,3684
Los Angeles,Poverty (% Below Poverty Level),45.7
Los Angeles,Asthma,56.8
Los Angeles,Annual PM 2.5 Concentrations,12.195666749999999
Los Angeles,Cardiovascular Disease,16.64
Los Angeles,Drinking Water Contaminant Index,795.99
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,0.3
Los Angeles,Pollution Burden Score,6.48
Los Angeles,Annual Ozone Concentration,0.049
Los Angeles,Total Population,7225
Los Angeles,Poverty (% Below Poverty Level),50.1
Los Angeles,Asthma,154.42
Los Angeles,Annual PM 2.5 Concentrations,7.35997026
Los Angeles,Cardiovascular Disease,23.64
Los Angeles,Drinking Water Contaminant Index,441.8
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,9
Los Angeles,Pollution Burden Score,5.48
Los Angeles,Annual Ozone Concentration,0.062
Los Angeles,Total Population,2948
Los Angeles,Poverty (% Below Poverty Level),39.5
Los Angeles,Asthma,55.72
Los Angeles,Annual PM 2.5 Concentrations,12.22276714
Los Angeles,Cardiovascular Disease,14.06
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,9
Los Angeles,Pollution Burden Score,7.37
Los Angeles,Annual Ozone Concentration,0.049
Los Angeles,Total Population,4906
Los Angeles,Poverty (% Below Poverty Level),44.1
Los Angeles,Asthma,89.05
Los Angeles,Annual PM 2.5 Concentrations,11.66547916
Los Angeles,Cardiovascular Disease,19.65
Los Angeles,Drinking Water Contaminant Index,726.64
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,0
Los Angeles,Pollution Burden Score,5.82
Los Angeles,Annual Ozone Concentration,0.066
Los Angeles,Total Population,4040
Los Angeles,Poverty (% Below Poverty Level),39.4
Los Angeles,Asthma,67.69
Los Angeles,Annual PM 2.5 Concentrations,12.03026306
Los Angeles,Cardiovascular Disease,15.63
Los Angeles,Drinking Water Contaminant Index,373.79
Los Angeles,Imparired Water Bodies,5
Los Angeles,Groundwater Threats,4
Los Angeles,Pollution Burden Score,6.09
Los Angeles,Annual Ozone Concentration,0.042
Los Angeles,Total Population,3194
Los Angeles,Poverty (% Below Poverty Level),66.3
Los Angeles,Asthma,45.99
Los Angeles,Annual PM 2.5 Concentrations,12.17492801
Los Angeles,Cardiovascular Disease,14.02
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,7.5
Los Angeles,Pollution Burden Score,6.55
Los Angeles,Annual Ozone Concentration,0.046
Los Angeles,Total Population,4471
Los Angeles,Poverty (% Below Poverty Level),38.6
Los Angeles,Asthma,35.75
Los Angeles,Annual PM 2.5 Concentrations,11.82809251
Los Angeles,Cardiovascular Disease,9.96
Los Angeles,Drinking Water Contaminant Index,664.2
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,49.3
Los Angeles,Pollution Burden Score,8.48
Los Angeles,Annual Ozone Concentration,0.056
Los Angeles,Total Population,4066
Los Angeles,Poverty (% Below Poverty Level),28.6
Los Angeles,Asthma,56.27
Los Angeles,Annual PM 2.5 Concentrations,11.94880378
Los Angeles,Cardiovascular Disease,16.71
Los Angeles,Drinking Water Contaminant Index,326.44
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,24.8
Los Angeles,Pollution Burden Score,7.17
Los Angeles,Annual Ozone Concentration,0.044
Los Angeles,Total Population,5245
Los Angeles,Poverty (% Below Poverty Level),30.7
Los Angeles,Asthma,84.63
Los Angeles,Annual PM 2.5 Concentrations,11.63126039
Los Angeles,Cardiovascular Disease,18.53
Los Angeles,Drinking Water Contaminant Index,726.64
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,10
Los Angeles,Pollution Burden Score,6.45
Los Angeles,Annual Ozone Concentration,0.065
Los Angeles,Total Population,4765
Los Angeles,Poverty (% Below Poverty Level),70.4
Los Angeles,Asthma,41.87
Los Angeles,Annual PM 2.5 Concentrations,12.33647073
Los Angeles,Cardiovascular Disease,10.62
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,13.75
Los Angeles,Pollution Burden Score,7.43
Los Angeles,Annual Ozone Concentration,0.048
Los Angeles,Total Population,5700
Los Angeles,Poverty (% Below Poverty Level),28.7
Los Angeles,Asthma,66.86
Los Angeles,Annual PM 2.5 Concentrations,11.89983237
Los Angeles,Cardiovascular Disease,14.78
Los Angeles,Drinking Water Contaminant Index,717.69
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,11.75
Los Angeles,Pollution Burden Score,7.33
Los Angeles,Annual Ozone Concentration,0.059
Los Angeles,Total Population,5328
Los Angeles,Poverty (% Below Poverty Level),58
Los Angeles,Asthma,52.53
Los Angeles,Annual PM 2.5 Concentrations,12.03324185
Los Angeles,Cardiovascular Disease,18.39
Los Angeles,Drinking Water Contaminant Index,671.72
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,5.5
Los Angeles,Pollution Burden Score,5.63
Los Angeles,Annual Ozone Concentration,0.045
Los Angeles,Total Population,3685
Los Angeles,Poverty (% Below Poverty Level),52.1
Los Angeles,Asthma,94.25
Los Angeles,Annual PM 2.5 Concentrations,12.09480796
Los Angeles,Cardiovascular Disease,24.32
Los Angeles,Drinking Water Contaminant Index,366.21
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,10.6
Los Angeles,Pollution Burden Score,5.46
Los Angeles,Annual Ozone Concentration,0.044
Los Angeles,Total Population,4113
